PROGRAM_ID,CENTER_ID,PROGRAM_NAME,PROGRAM_TIME,PROGRAM_CONTENT,PROGRAM_NUM
20,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-2부,2023-06-02 15:20 ~ 16:30,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
21,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-3부,2023-06-02 16:40 ~ 17:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
22,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-1부,2023-06-09 14:00 ~ 15:10,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
23,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-2부,2023-06-09 15:20 ~ 16:30,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
24,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-3부,2023-06-09 16:40 ~ 17:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
25,26,[온라인] 디자인전공자의 취업 성공기_현직자멘토링,2023-06-15 18:30 ~ 20:00,"팬택,JBL(하만), Lenovo(레노보), Kohler(콜러), 일렉트로룩스 경험과 노하우 전수!",
26,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-1부,2023-06-23 14:00 ~ 15:10,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
27,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-2부,2023-06-23 15:20 ~ 16:30,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
28,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-3부,2023-06-23 16:40 ~ 17:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
29,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-1부,2023-06-30 14:00 ~ 15:10,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
30,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-2부,2023-06-30 15:20 ~ 16:30,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
31,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-3부,2023-06-30 16:40 ~ 17:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
32,29,마포오랑 마청넷 토크콘서트,6/15(목) 19:00~20:30,청년들이 청년 대 청년으로서 인사이트를 주고받는 토크콘서트,19~39세 청년 누구나 (최대30명)
33,30,마포청년나루 1:1 원스톱 종합상담,"1타임(오전10시), 2타임(오전11시), 3타임(오후2시), 4타임(오후3시)","무료진로적성검사, 집중컨설팅, 맞춤구직정보제공, 성공적인 취업",만19세~39세청년
34,30,마포청년나루 스타트업 인사/노무 A TO Z,"1회기: 6월3일(토), 2회기: 6월 10일(토), 3회기: 6월17일(토) , 4회기: 6월 24일(토), 14:00~16:00","근로계약의 기본개념, 근로시간과임금, 휴일 및 휴가, 근로관계 종료, 최근 인사/ 노무 주요 이슈",예비 초기 청년 창업자 (만19세~39세)
35,30,마포청년나루 AI취업역량콘텐츠,온라인 개별 실시,"AI 자기소개서, AI 면접, AI역량검사",만19세~39세청년
36,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-1부,2023-06-02 13:00 ~ 14:10,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
37,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-2부,2023-06-02 14:20 ~ 15:30,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
38,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-3부,2023-06-02 15:40 ~ 16:50,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
39,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-1부,2023-06-09 13:00 ~ 14:10,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
40,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-2부,2023-06-09 14:20 ~ 15:30,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
41,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-3부,2023-06-09 15:40 ~ 16:50,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
42,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-1부,2023-06-16 13:00 ~ 14:10,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
43,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-2부,2023-06-16 14:20 ~ 15:30,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
44,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-3부,2023-06-16 15:40 ~ 16:50,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
45,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-1부,2023-06-23 13:00 ~ 14:10,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
46,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-2부,2023-06-23 14:20 ~ 15:30,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
47,37,[1:1 대면 상담] 입사서류 컨설팅 or 면접 컨설팅-3부,2023-06-23 15:40 ~ 16:50,1:1 맞춤형 역량추출 & 스토리추출을 기반으로 한 취업컨설팅(02-731-9577),
48,37,[온라인] Endemic 이후 해외채용시장의 변화 및 전망,2023-06-23 13:00 ~ 15:00,해외취업 전문 컨설턴트가 들려주는 Endemic 이후 해외 취업 준비 전략,
49,40,성동오랑 청년도전지원사업 도전 프로그램,9월4일(월)~9월25일(월) 1개월 40시간,"진로탐색, 직업탐색, 직무교육, 진로 직업 상담, 자기계발 및 자신감 활동(프로그램 수료시 취업지원금 50만원)","만18세~만34세 청년, 6개월 이상 근무경력이 없는 청년"
50,54,영등포오랑 취미향유 프로그램<백드롭 페인팅>,"1회차: 6월1일(목) 19시30분~21시, 2회차: 6월8일(목) 19시30분~21시, 3회차 6월15일(목) 19시30분~21시, 4회차: 6월22일(목) 19시30분~21시",백드롭페인팅을 이용한 취미탐구,만19세~39세청년 (모집인원10명)
51,59,[오프라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류)및 면접가이드-1부,2023-06-13 14:00 ~ 15:10,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
52,59,[오프라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류)및 면접가이드-2부,2023-06-13 15:20 ~ 16:30,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
53,59,[오프라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류)및 면접가이드-3부,2023-06-13 16:40 ~ 17:50,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
54,59,(오프라인)원스탑 취업합격 컨설팅!자소서/입사서류/면접 미리 준비하기-1부,2023-06-20 14:00 ~ 15:10,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
55,59,(오프라인)원스탑 취업합격 컨설팅!자소서/입사서류/면접 미리 준비하기-2부,2023-06-20 15:20 ~ 16:30,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
56,59,(오프라인)원스탑 취업합격 컨설팅!자소서/입사서류/면접 미리 준비하기-3부,2023-06-20 16:40 ~ 17:50,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
57,59,(오프라인)원스탑 취업합격 컨설팅!자소서/입사서류 미리 준비하기-1부,2023-06-27 14:00 ~ 15:10,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
58,59,(오프라인)원스탑 취업합격 컨설팅!자소서/입사서류 미리 준비하기-2부,2023-06-27 15:20 ~ 16:30,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
59,59,(오프라인)원스탑 취업합격 컨설팅!자소서/입사서류 미리 준비하기-3부,2023-06-27 16:40 ~ 17:50,▶ 면접/자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
60,59,[온라인] 지니소프트 게임기획_현직자 멘토링,2023-06-28 18:30 ~ 20:00,지니소프트 게임기획_☆현직자 멘토링☆,
61,62,[오프라인]PPT 실습교육-PT 면접을 위한 보고서용 맞춤 PPT작성(1),2023-06-05 14:00 ~ 15:30,☆PT 면접☆을 위한 보고서용 맞춤 PPT 작성법 배우기,
62,62,[오프라인]PPT 실습교육-PT 면접을 위한 보고서용 맞춤 PPT작성(2),2023-06-05 15:30 ~ 17:00,☆PT 면접☆을 위한 보고서용 맞춤 PPT 작성법 배우기,
63,62,[1:1 대면상담] 한번에 끝내는 취업준비 - 이력서/자소서/면접 컨설팅-1부,2023-06-27 14:00 ~ 15:10,개인역량 및 강점 파악을 바탕으로 한 입사지원서 작성과 면접 대비(02-731-9579),
64,62,[1:1 대면상담] 한번에 끝내는 취업준비 - 이력서/자소서/면접 컨설팅-2부,2023-06-27 15:20 ~ 16:30,개인역량 및 강점 파악을 바탕으로 한 입사지원서 작성과 면접 대비(02-731-9579),
65,62,[1:1 대면상담] 한번에 끝내는 취업준비 - 이력서/자소서/면접 컨설팅-3부,2023-06-27 16:40 ~ 17:50,개인역량 및 강점 파악을 바탕으로 한 입사지원서 작성과 면접 대비(02-731-9579),
66,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-1부,2023-06-01 14:00 ~ 14:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
67,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-2부,2023-06-01 15:00 ~ 15:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
68,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-3부,2023-06-01 16:00 ~ 16:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
69,64,"(비대면 1:1 상담) 입사지원 서류 컨설팅, 이력서와 자기소개서 작성 중심-1부",2023-06-01 13:00 ~ 13:50,취업에 필요한 이력서와 자기소개서 작성 A~Z까지 (02-731-9578),
70,64,"(비대면 1:1 상담) 입사지원 서류 컨설팅, 이력서와 자기소개서 작성 중심-2부",2023-06-01 14:00 ~ 14:50,취업에 필요한 이력서와 자기소개서 작성 A~Z까지 (02-731-9578),
71,64,"(비대면 1:1 상담) 입사지원 서류 컨설팅, 이력서와 자기소개서 작성 중심-3부",2023-06-01 15:00 ~ 15:50,취업에 필요한 이력서와 자기소개서 작성 A~Z까지 (02-731-9578),
72,64,[1:1 비대면 상담] 입사서류 컨설팅 -1부,2023-06-01 13:00 ~ 13:50,자소서 점검 (유선 : 02-731-9577),
73,64,[1:1 비대면 상담] 입사서류 컨설팅 -2부,2023-06-01 14:00 ~ 14:50,자소서 점검 (유선 : 02-731-9577),
74,64,[1:1 비대면 상담] 입사서류 컨설팅 -3부,2023-06-01 15:00 ~ 15:50,자소서 점검 (유선 : 02-731-9577),
75,64,[비대면] 호감을 높이는 면접전략 컨설팅 (모의면접 + 면접전략 확인) (1:1 상담)-1부,2023-06-01 14:00 ~ 14:50,호감 가는 지원자로 거듭나는 면접전략 컨설팅(02-731-9579),
76,64,[비대면] 호감을 높이는 면접전략 컨설팅 (모의면접 + 면접전략 확인) (1:1 상담)-2부,2023-06-01 15:00 ~ 15:50,호감 가는 지원자로 거듭나는 면접전략 컨설팅(02-731-9579),
77,64,[비대면] 호감을 높이는 면접전략 컨설팅 (모의면접 + 면접전략 확인) (1:1 상담)-3부,2023-06-01 16:00 ~ 16:50,호감 가는 지원자로 거듭나는 면접전략 컨설팅(02-731-9579),
78,64,[온라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류)및 1:1면접 가이드-1부,2023-06-01 14:00 ~ 14:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
79,64,[온라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류)및 1:1면접 가이드-2부,2023-06-01 15:00 ~ 15:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
80,64,[온라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류)및 1:1면접 가이드-3부,2023-06-01 16:00 ~ 16:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
81,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-1부,2023-06-02 14:00 ~ 14:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
82,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-2부,2023-06-02 15:00 ~ 15:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
83,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-3부,2023-06-02 16:00 ~ 16:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
84,64,[오프라인] 실전 모의면접 실습&피드백,2023-06-02 14:00 ~ 15:00,실전처럼 진행되는 모의면접 및 면접 컨설팅 진행,
85,64,[오프라인] 실전 모의면접 실습&피드백,2023-06-02 15:00 ~ 16:00,실전처럼 진행되는 모의면접 및 면접 컨설팅 진행,
86,64,[오프라인] 실전 모의면접 실습&피드백,2023-06-02 16:00 ~ 17:00,실전처럼 진행되는 모의면접 및 면접 컨설팅 진행,
87,64,[온라인] 경험기반 1:1취업합격 전략!자소서 첨삭(입사서류) 가이드 -1부,2023-06-02 14:00 ~ 14:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
88,64,[온라인] 경험기반 1:1취업합격 전략!자소서 첨삭(입사서류) 가이드 -2부,2023-06-02 15:00 ~ 15:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
89,64,[온라인] 경험기반 1:1취업합격 전략!자소서 첨삭(입사서류) 가이드 -3부,2023-06-02 16:00 ~ 16:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
90,64,[필독] 신청전 오른쪽 → [상세보기] 클릭! 또랑또랑 합격하는 면접시크릿-1부,2023-06-03 14:00 ~ 14:50,또랑또랑 합격하는 면접시크릿!(02-731-9575),
91,64,[필독] 신청전 오른쪽 → [상세보기] 클릭! 또랑또랑 합격하는 면접시크릿-2부,2023-06-03 15:00 ~ 15:50,또랑또랑 합격하는 면접시크릿!(02-731-9575),
92,64,[필독] 신청전 오른쪽 → [상세보기] 클릭! 또랑또랑 합격하는 면접시크릿-3부,2023-06-03 16:00 ~ 16:50,또랑또랑 합격하는 면접시크릿!(02-731-9575),
93,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-1부,2023-06-05 14:00 ~ 14:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
94,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-2부,2023-06-05 15:00 ~ 15:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
95,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-3부,2023-06-05 16:00 ~ 16:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
96,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-1부,2023-06-05 14:00 ~ 14:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
97,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-2부,2023-06-05 15:00 ~ 15:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
98,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-3부,2023-06-05 16:00 ~ 16:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
99,64,[온라인상담] 1:1 개인역량 맞춤 취업컨설팅-1부,2023-06-05 14:00 ~ 14:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
100,64,[온라인상담] 1:1 개인역량 맞춤 취업컨설팅-2부,2023-06-05 15:00 ~ 15:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
101,64,[온라인상담] 1:1 개인역량 맞춤 취업컨설팅-3부,2023-06-05 16:00 ~ 16:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
102,64,[1:1 비대면 상담] 입사서류 컨설팅 -1부,2023-06-07 13:00 ~ 13:50,1:1 자소서 점검 / (유선 : 02-731-9577),
103,64,[1:1 비대면 상담] 입사서류 컨설팅 -2부,2023-06-07 14:00 ~ 14:50,1:1 자소서 점검 / (유선 : 02-731-9577),
104,64,[1:1 비대면 상담] 입사서류 컨설팅 -3부,2023-06-07 15:00 ~ 15:50,1:1 자소서 점검 / (유선 : 02-731-9577),
105,64,[오프라인]소그룹 면접컨설팅,2023-06-07 13:00 ~ 14:00,"1:3 소그룹 진행, 면접 대비전략 및 면접컨설팅, 피드백",
106,64,[오프라인]소그룹 면접컨설팅,2023-06-07 14:00 ~ 15:00,"1:3 소그룹 진행, 면접 대비전략 및 면접컨설팅, 피드백",
107,64,[오프라인]소그룹 면접컨설팅,2023-06-07 15:00 ~ 16:00,"1:3 소그룹 진행, 면접 대비전략 및 면접컨설팅, 피드백",
108,64,[오프라인]소그룹 면접컨설팅,2023-06-07 16:00 ~ 17:00,"1:3 소그룹 진행, 면접 대비전략 및 면접컨설팅, 피드백",
109,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-1부,2023-06-07 14:00 ~ 14:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
110,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-2부,2023-06-07 15:00 ~ 15:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
111,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-3부,2023-06-07 16:00 ~ 16:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
112,64,[온라인] 경험기반 1:1취업합격 전략!자소서 첨삭(입사서류) -1부,2023-06-07 14:00 ~ 14:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
113,64,[온라인] 경험기반 1:1취업합격 전략!자소서 첨삭(입사서류) -2부,2023-06-07 15:00 ~ 15:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
114,64,[온라인] 경험기반 1:1취업합격 전략!자소서 첨삭(입사서류) -3부,2023-06-07 16:00 ~ 16:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
115,64,[온라인상담] 1:1 개인역량 맞춤 취업컨설팅-1부,2023-06-07 14:00 ~ 14:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
116,64,[온라인상담] 1:1 개인역량 맞춤 취업컨설팅-2부,2023-06-07 15:00 ~ 15:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
117,64,[온라인상담] 1:1 개인역량 맞춤 취업컨설팅-3부,2023-06-07 16:00 ~ 16:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
118,64,[필독] 신청전 오른쪽 → [상세보기] 클릭! 또랑또랑 합격하는 면접시크릿-1부,2023-06-07 14:00 ~ 14:50,또랑또랑 합격하는 면접시크릿!(02-731-9575),
119,64,[필독] 신청전 오른쪽 → [상세보기] 클릭! 또랑또랑 합격하는 면접시크릿-2부,2023-06-07 15:00 ~ 15:50,또랑또랑 합격하는 면접시크릿!(02-731-9575),
120,64,[필독] 신청전 오른쪽 → [상세보기] 클릭! 또랑또랑 합격하는 면접시크릿-3부,2023-06-07 16:00 ~ 16:50,또랑또랑 합격하는 면접시크릿!(02-731-9575),
121,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-1부,2023-06-08 14:00 ~ 14:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
122,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-2부,2023-06-08 15:00 ~ 15:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
123,64,[온라인1:1]취업 성공을 위한 역량&강점 발견 자기소개서(이력서) 첨삭&코칭 컨설팅-3부,2023-06-08 16:00 ~ 16:50,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
124,64,[1:1 비대면 상담] 입사서류 컨설팅 -1부,2023-06-08 13:00 ~ 13:50,1:1 자소서 점검 / (유선 : 02-731-9577),
125,64,[1:1 비대면 상담] 입사서류 컨설팅 -2부,2023-06-08 14:00 ~ 14:50,1:1 자소서 점검 / (유선 : 02-731-9577),
126,64,[1:1 비대면 상담] 입사서류 컨설팅 -3부,2023-06-08 15:00 ~ 15:50,1:1 자소서 점검 / (유선 : 02-731-9577),
127,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-1부,2023-06-08 14:00 ~ 14:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
128,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-2부,2023-06-08 15:00 ~ 15:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
129,64,[비대면] 어필하는 자소서 만들기 (항목 분석 + 입사서류클리닉) (1:1 상담)-3부,2023-06-08 16:00 ~ 16:50,인사담당자에게 효과적으로 어필하는 입사서류클리닉(02-731-9579),
130,64,[온라인] 최단기 취업합격 전략! 1:1자소서 첨삭 (입사서류/경력기술서) 가이드-1부,2023-06-08 14:00 ~ 14:50,▶ 자소서 (입사서류) 확실히 합격하는법-강점/경험 마인드맵(☏02-731-9574 ),
