CENTER_ID,REGION_ID,CENTER_NAME,CENTER_TYPE,CENTER_ADDRESS,CENTER_HOMEPAGE,CENTER_CONTACT,CENTER_TIME
11,6,서울청년센터 광진오랑,통합지원형,서울 광진구 능동로 245 (군자동),https://www.instagram.com/jingu_orang/,02-3409-3890,화 16:00~20:00
12,6,동부여성발전센터,통합지원형,"서울 광진구 아차산로30길 36 (자양동, 서울 동부여성발전센타)",https://dongbu.seoulwomanup.or.kr/dongbu/main/main.do,02-460-2300(2321),평일(월-금)  09:00~22:00 토 09:00~18:00 (매월 마지막주 토요일 휴무)
13,8,청춘삘딩,취업지원형,서울 금천구 시흥대로138길 10-11 (독산동),http://www.youthblg.org/,070-7777-3745,평일(월-금) 10:00~20:00 토 10:00~18:00
14,8,서울청년센터 금천오랑,통합지원형,"서울 금천구 가산디지털1로 120 G밸리창업복지센터 1층, 2층",https://blog.naver.com/gorang_,02-864-5002,평일(월-금) 10:00~22:00 토 10:00~17:00
15,9,스터디북킹 민간운영 스터디 카페,취업지원형,"서울 노원구 동일로 1345 (상계동, 인천빌딩)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1720,02-6925-1978,"화요일, 목요일 10:00~18:00"
16,9,메이커스원,창업지원형,서울 노원구 동일로192길 74 (공릉동),http://www.nowonmakers1.or.kr/company/information.php,070-7718-2462,평일(월-금)  09:00~18:00
17,9,서울청년센터 노원오랑,통합지원형,서울 노원구 동일로 1405 9층 서울청년센터 노원 오랑,https://www.instagram.com/no1_orang/,02-937-5550,평일(월-금) 10:00~22:00 토 10:00~17:00 
18,10,도봉문화정보도서관,순수공간,"서울 도봉구 덕릉로 315 (창동, 도봉문화정보도서관) ",http://www.unilib.dobong.kr/main.do,070-5101-1115,"평일(월,수,목,금)09:00~18:00 주말(토,일)09:00~17:00"
19,11,동대문구답십리도서관,순수공간,"서울 동대문구 서울시립대로4길 75 (답십리동, 동대문구 답십리 도서관)",https://www.l4d.or.kr/dsn/index.do,02-982-1959,평일(월-목)  09:00~22:00
20,11,한국외국어대학교 대학일자리센터,통합지원형,"서울 동대문구 이문로 107 (이문동, 한국외국어대학교) 사이버관 105호",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1605,02-2173-2874,평일(월-금) 9:00~17:00(방학 중 9:00~ 16:00)
21,12,손스스터디 카페,취업지원형,서울 동작구 노량진로 174 (노량진동) ,https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1400,02-823-0909,매일 09:00~22:00
22,12,숭실대학교 잡카페,취업지원형,"서울 동작구 상도로 369 (상도동, 숭실대학교)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1880,02-820-0168,평일(월-금)  09:00~17:30
23,12,사랑밭 청년센터,통합지원형,서울 동작구 만양로8길 45 (노량진동),https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1047,02-812-4424,"평일(월-금),토 09:00~18:00"
24,13,KB청춘마루,취업지원형,서울 마포구 홍익로 18 (서교동),https://www.instagram.com/kbkbkb_official/,02-3144-7744,"평일(월-금), 토 12:00~21:00 일/공휴일 12:00~18:00"
25,13,루아흐코워킹스페이스,순수공간,"서울 마포구 큰우물로 76 (도화동, 고려빌딩) 4층 ",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1140,070-4333-3843,매일 00:00~24:00
26,13,한겨레교육문화센터 신촌,순수공간,"서울 마포구 백범로 18 (노고산동, 미화빌딩)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1059,02-3279-0901,평일(월-금)  10:00~13:00 
27,13,서울창업허브,창업지원형,"서울 마포구 백범로31길 21 (공덕동, 서울창업허브, 서울복지타운)",http://www.seoulstartuphub.com/,02-2115-2000,"평일(월-금)  09:00~21:00, 토, 일, 공휴일 09:00~18:00"
28,13,청년문화공간 JU동교동,순수공간,서울 마포구 월드컵북로2길 49 (동교동),https://www.yju.or.kr/,02-338-7830,평일(월-금)  09:00-03:00(익일)
29,13,서울청년센터 마포오랑,통합지원형,서울 마포구 월드컵로1길 14 1층 마포함께이룸센터 내 서울청년센터 마포오랑 ,https://blog.naver.com/mapo_orang,02-336-3690,평일(월-금) 10:00~22:00 토:10:00~17:00 
30,13,마포청년나루,취업지원형,서울 마포구 양화로 13 스퀘어리버뷰 3~4층,https://naroo.or.kr/,02-6261-1939,평일(월-금) 10:00~21:00 토:10:00~18:00 
31,14,슈퍼스타트 이대점,취업지원형,"서울 서대문구 이화여대8길 3 (대현동, 연화프라자)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1061,02-362-8986,평일(월-금)  09:00~24:00
32,14,서대문구 일자리카페,통합지원형,서울 서대문구 연세로5나길 10 (창천동),https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1052,070-8114-9870,평일(월-금)  10:00~16:00
33,14,신촌문화발전소,순수공간,서울 서대문구 연세로2나길 57 (창천동),https://www.scas.or.kr/kr/index.php,02-330-4393,"평일(화-금),토 10:00 ~ 18:00(일요일, 월요일, 법정공휴일)"
34,15,서울청년센터 서초오랑,통합지원형,서울 서초구 신반포로 188 734-101호,https://blog.naver.com/sc_orang,1877-4508,평일(월-금) :10:00~22:00 토:10:00~17:00
35,16,성동구립도서관,순수공간,"서울 성동구 고산자로10길 9 (행당동, 성동문화정보센터)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1541,02-2286-6387,평일(화-금) 09:00~18:00
36,16,성수지앵스 수다카페,취업지원형,"서울 성동구 상원6나길 22-11 (성수동1가, 성동지역경제혁신센터)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1051,02-2286-6387,평일(월-금)  09:00~18:00
37,16,성동구 일자리카페 (서울숲 언더스탠드 에비뉴),순수공간,"서울 성동구 왕십리로 63 (성수동1가, 언더 스탠드 에비뉴)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1540,070-4233-1297,평일(월-금)  09:00~18:00
38,16,소셜캠퍼스온 서울1센터,창업지원형,"서울 성동구 광나루로 286 8층(성수동2가, 아인빌딩)",https://socamseoul1.oopy.io/,02-467-2510,평일(월-금)  09:00~18:00
39,16,장안평자동차산업종합정보센터,취업지원형,"서울 성동구 자동차시장1길 64 (용답동, 장안평 자동차 종합정보센터)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=2241,070-4736-2425,"평일(월-금) 09시~13시, 토요일 09시~17시"
40,16,서울청년센터 성동오랑,통합지원형,"서울 성동구 왕십리로 350 비엠빌딩 4층, 5층",https://blog.naver.com/sd_orang,02-2294-6487,평일(월-금) :10:00~22:00 토:10:00~17:00 
41,17,동덕여자대학교 일자리카페,통합지원형,"서울 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView,02-940-4243,"평일(월-금) 10시~17시 (단, 방학 중 11시~15시)"
42,17,서경대학교 CLC Zone 1번방,통합지원형,"서울 성북구 서경로 124 (정릉동, 서경대학)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1641,02-940-7626,"평일(월-금) (학기) 13:00~17:00, 평일(월-금) (방학) 10:00~15:00"
43,17,성북구 일자리카페 (성신여자대학교 대학일자리센터),취업지원형,"서울 성북구 보문로34다길 2 (돈암동, 성신여자대학교) ",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1940,02-920-7960,평일(월-금)  09:00~18:00
44,17,성북구 일자리카페 (더스터디),순수공간,"서울 성북구 개운사길 5 (안암동5가, 세한빌딩)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1562,02-925-2225,매일 00:00~24:00
45,17,성북구 일자리카페 (카페머그),순수공간,서울 성북구 동소문로20가길 34 (동선동1가),https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1160,02-2241-3993,매일 11:00~18:00
46,17,국민대학교 경력지원개발단 잡카페,통합지원형,"서울 성북구 정릉로 77 (정릉동, 국민대학교)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1600,02-910-5229,평일(월-금)  09:00~17:00 
47,18,송파글마루도서관,순수공간,"서울 송파구 충민로 120 (장지동, 송파글마루 도서관)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1300,02-449-8855,"평일(화-금) 주말(토,일) 09:00~18:00 "
48,18,커피랑도서관 가락1호점,순수공간,"서울 송파구 동남로18길 51 (가락동, 석남빌딩)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1602,070-4145-1140,평일(월-금)  09:00 ~ 16:00
49,18,커피랑도서관 가락센터점,순수공간,서울 송파구 송이로 83 (가락동) ,https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1604,070-7740-1140,평일(월-금)  09:00 ~ 16:00
50,18,커피랑도서관 마천사거리점,순수공간,서울 송파구 거마로 63 (마천동) ,https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1603,070-8881-1140,평일(월-금) 09:00~16:00
51,19,사회적경제지원센터-창업디딤누리,취업지원형,"서울 양천구 목동동로 375 (목동, 양천구사회적경제지원센터)",https://www.spacecloud.kr/space/25652?type=search,02-2620-4829,평일(월-금) 09:00 ~ 18:00
53,19,피치스터디카페,순수공간,서울 양천구 목동서로 250 (목동) ,https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1120,02-2653-2884,평일(월-금) 10:00~17:00
54,20,서울청년센터 영등포오랑,통합지원형,서울 영등포구 당산로 83 2층 ,https://blog.naver.com/ydporang,02-2069-0246,평일(월-금) :10:00~22:00 토:10:00~17:00
56,21,용산전자상상가,순수공간,"서울 용산구 청파로 77 (한강로3가, 원효전자상가)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=2080,070-4618-0108,"화요일 13시~19시, 목요일 13시~19시(주말, 토, 일). 공휴일)"
57,22,서울혁신센터,순수공간,"서울 은평구 통일로 684 (녹번동, 서울혁신파크)",https://www.innovationpark.kr/,02-389-7512,"평일(월-금),토 06:00~24:00 (일자리카페 프로그램 운영시간 별도)"
58,22,서울청년센터 은평오랑,통합지원형,서울 은평구 통일로67길 9 주주베 A동 2층,https://blog.naver.com/comeorang,02-351-3711,평일(월-금) :10:00~21:00 토:10:00~17:00
59,23,P&T스퀘어,순수공간,"서울 종로구 수표로 105 (종로2가, 육의전빌딩) ",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1960,02-733-3264,"평일(월-금), 공휴일, 토요일 09시~22시/일요일 9시~20시"
60,23,파고다종로 내일캠퍼스,통합지원형,"서울 종로구 청계천로 93 (관철동, 파고다타워)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1050,02-2087-4050,평일(월-금) 09:00~20:00
62,23,종로여성인력개발센터 청년일자리카페,통합지원형,"서울 종로구 대학로11길 23 (명륜4가, 대학로스타시티빌딩) ",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=2220,02-742-1326,평일(월-금) 09:00~17:00
63,23,청년재단,통합지원형,"서울 종로구 청계천로 35 (서린동, 관정빌딩) ",https://kyf.or.kr/,02-6731-2630,평일(월-금) 09:00~18:00
64,24,서울시 청년일자리센터,취업지원형,서울 중구 삼일대로 363(장교동) 서울지방고용노동청(장교빌딩) 1층,https://job.seoul.go.kr/Main.do?method=getMain,02-2133-5443,평일(월-금)  09:00~21:00 토 10:00~18:00 취업상담: 평일(월-금)  09:00~18:00
65,24,서울시립청소년문화교류센터(미지센터),순수공간,"서울 중구 퇴계로26가길 6 (예장동, 서울유스호스텔)",https://www.mizy.net/,02-755-1024,평일(월-금) 10:00~20:50 토요일 10:00 ~ 20:50 일요일/공휴일 10:00~17:50
66,25,서일대학교 JOB카페,순수공간,"서울 중랑구 용마산로90길 28 (면목동, 서일대학)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1660,02-490-7549,평일(월-금) (학기) 09:00~22:00 평일(월-금) (방학) 10:00~17:00 
67,25,중랑여성인력개발센터,통합지원형,"서울 중랑구 망우로32길 20 (상봉동, 대림빌딩)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1340,010-2212-5231,평일(월-금)  09:00~18:00 토 09:00~13:00
68,26,가평문화창작공간 얼쑤공장,순수공간,가평읍 문화로 107-61 ,https://pf.kakao.com/_xlpxjqxb,"031-580-2501, 031-582-7002",평일(월-금) 09:00~18:00 
69,27,토당청소년수련관,통합지원형,경기도 고양시 덕양구 중앙로 633번길 25 ,https://www.gcyf.or.kr/td/,031-995-4125,"평일(월-금),토 09:00~21:00"
70,27,28청춘 창업소(청년 창업공간),창업지원형,경기도 덕양구 화중로 104번길 33(화정동) 덕양구청 옆 빈 공터,https://28makerspace.modoo.at/,031-968-7061,평일(월-금) 09:00~18:00 
71,27,청취다방,통합지원형,"경기도 고양시 덕양구 화신로 260번길 74, 2층(화정고속버스터미널)",https://goyangjobcafe.kr/,031-8075-2874,평일(월-금) 10:00~18:00
72,28,구리시청년창업지원센터,창업지원형,경기도 구리시 건원대로 67 한진빌딩 3층~5층 ,https://guristartup.or.kr/,031-557-9980,"평일(월-금),토 09:30~21:00/18:00"
73,29,수리산상상마을,순수공간,경기도 군포시 수리산로 112 수리산 상상마을,https://www.gunpocf.or.kr/sang,031-390-3080,"평일(월-금),토 09:00~21:00/18:00"
74,29,"청춘, 쉼미당 (초막골 청년살롱)",순수공간,경기도 군포시 초막골길 216,-,031-390-0939,매일 09:30 ~ 17:20
75,30,과천시 청년공간 비행지구,통합지원형,"경기도 과천시 중앙로 129, 5층(501호)",https://www.instagram.com/gc_fly_earth/,02-3418-1245,"평일(월-금), 토 10:00~18:00"
76,31,광명시 청년동,통합지원형,"경기도 광명시 오리로854번길 10, 열린시민청 4층 ",https://www.gmyouthzone.org/main/main.php,02-2066-8134,매일 09:00 - 22:00/18:00
77,31,광명도서관 메이커스페이스,창업지원형,"경기도 광명시 원광명안로 48번길, 광명도서관 5층 메이커 스페이스",https://cafe.naver.com/3dkim,02-2680-5417,"평일(월-목) 09:00~20:00 주말(토, 일) 17:00"
78,31,광명시창업지원센터 청년창업지원센터,창업지원형,경기도 광명시 오리로 362 창업지원센터 6층,https://www.gmstartup.or.kr/pages/,02-2680-6662,평일(월-금)  09:00~18:00
79,31,광명시스마트인력개발센터,취업지원형,"경기도 광명시 하안로 60, BIZ동 201호 (소하동, 광명테크노파크) ",http://gmsmart.kr/,02-2680-6123,평일(월-금)  09:00~18:00
80,32,더 누림 플랫폼 - 창업누림,창업지원형,"경기도 광주시 경안로 42번길 22, 3층",https://www.gj-youth.or.kr/,031-8027-0372,평일(월-금)  10:00~17:00
81,32,더 누림 플랫폼,통합지원형,"경기도 광주시 광주대로 55번길 21, 2층 ",https://www.gj-youth.or.kr/,031-8027-0371,"평일(월-금),토 10:00~17:00/16:00"
82,33,김포청년공간 창공 구래청년지원센터,통합지원형,김포시 김포한강4로 543 지오프라자 8층,https://gpspace.or.kr/,031-988-9480,평일(월-금)  9:00~21:00 토 10:00~20:00
83,33,김포청년공간 창공 사우청년지원센터,통합지원형,경기도 김포시 김포대로 841 제우스프라자 5층 504호,https://gpspace.or.kr/, 031-997-2557,"평일(월-금),토 9:00~21:00/10:00~20:00"
86,35,동두천시 청소년수련관,순수공간,경기도 동두천시 지행로95,https://www.ddc.go.kr/youth/index.do,031-860-2857,평일(화-금) 10:00~21:00 토 10:00~18:00
87,35,두드림마켓&북카페,순수공간,경기도 동두천시 평화로2539 보산역 1층 ,https://www.ddc.go.kr/ddc/contents.do?key=1843,031-860-2438,매일 10:00~19:00
88,36,부천시평생학습센터 고강시민학습원,통합지원형,부천시 고리울로8번길 77 (수주도서관 4층),http://learning.bucheon.go.kr/site/main/index165,032-625-8506,평일(월-금) 09:00~18:00
89,36,부천시평생학습센터 부천시민학습원,통합지원형,부천시 부흥로 403,http://learning.bucheon.go.kr/site/main/index165,032-625-8495,평일(월-금) 09:00~18:00
90,36,부천시평생학습센터 송내시민학습원,통합지원형,부천시 경인로92번길 33 (송내어울마당 2층),http://learning.bucheon.go.kr/site/main/index165,032-625-8487,평일(월-금) 09:00~18:00
92,36,원미청정구역,통합지원형,경기도 부천시 소사로 456,https://www.bcl.go.kr/site/homepage/menu/viewMenu?menuid=019002003001001,"032-625-4736, 4747","평일(화-금) 주말(토,일) 07:00~22:00"
93,36,고리울청소년센터 꾸마,통합지원형,경기도 부천시 고강로 132번길 28 ,http://www.kumayouth.or.kr/,032-682-1886,평일(월-금) 10:00~21:00 토 20:00 일 18:00
94,36,부천시 정신건강복지센터,통합지원형,경기도 부천시 성오로 172 오정어울마당 3층 ,https://www.bucheonlove.com/sub.php?menukey=7,032-654-4024,-
95,36,일드림센터 (위브),통합지원형,부천시 신흥로 170-1 위브더스테이트 6단지 601동 217호 ,http://www.dreamwork.or.kr/main,032-651-0919,-
96,36,일드림센터(부천테크노파크),통합지원형,부천시 송내대로 388 부천테크노파크 2단지 203동 102호 ,http://www.dreamwork.or.kr/main,032-321-0919,-
97,36,부천시민미디어센터,통합지원형,경기도 부천시 장말로 107(상동)복사골문화센터 6층 부천시민미디어센터,https://www.media-center.or.kr/bucheon/main.do,032-329-8151,평일(월-금) 09:00~18:00
98,36,부천청년리더#,통합지원형,경기 부천시 송내대로 50-1 송내 북부역 2번출구 1층 택시 승강장 앞,https://blog.naver.com/bcjoblove,032-625-8439,평일(월-금) 09:00~18:00
99,37,청년맞춤제작소 in 성남,통합지원형,경기도 성남시 수정구 성남대로 1181 예건플라츠 1층 101호,https://yhf.kr/customized/front/youthTalkViewPage.do,031-605-2030,평일(월-금) 10:00~19:00
100,37,성남일자리센터,취업지원형,"성남시 중원구 성남대로 997, 성남시청 2층 / (공간대여) 판교일자리센터 (판교역 알파지하광장 내 위치)",https://job.seongnam.go.kr/main/index.php,031-781-4420,평일(월-금)  09:00~18:00
101,37,성남시 청년지원센터 청년이봄,통합지원형,경기도 성남시 수정구 산성대로 267 롯데시네마타워 B1 b1049 성남시청년지원센터 청년이봄,https://www.snspring.or.kr/,070-4908-2094,평일(월-금) 10:00 ~ 21:00 / 토요일 10:00 ~ 15:00
104,37,청년예술창작소,통합지원형,경기도 성남시 중원구 산성대로 204-5 중앙지하상가 E동 마열 4호~15호,https://www.snart.or.kr/web/cms/?MENUMST_ID=22044&cmsDataMapPageViewCnt=0&cmsDataMapDownloadCnt=0,031-721-8124,평일(월-금)  10:00 ~ 19:00
105,38,경기도 여성비전센터,통합지원형,경기 수원시 팔달구 효원로308번길 34 ,https://www.gg.go.kr/woman/main.do,031-8008-8007,평일(월-금)  09:00 ~21:00
106,38,수원시청년지원센터 청누리,통합지원형,경기 수원시 팔달구 행궁로 68-1,https://www.swyouth.kr/?p=126,031-231-3378,"평일(월-금), 토 10:00 ~ 18:00"
107,38,경기상상캠퍼스,통합지원형,경기 수원시 권선구 서둔로 166 (서둔동) ,https://sscampus.kr/,031-296-1980,평일 (화-금) 주말(토-일) 10:00~18:00
108,38,한국장학재단 경기지역센터 멘토링룸,통합지원형,경기도 수원시 영통구 광교로 152 4층 한국장학재단 경기센터,https://www.kosaf.go.kr/ko/main.do,044-8092-8011,평일(월-금) 14:00~18:00
109,38,수원청년바람지대,통합지원형,수원시 팔달구 행궁로84번길 23(교동) ,https://www.swyouth.kr/?p=60,031-231-3377,평일(월-금)  10:00~21:00 토 10:00~18:00 
110,39,청년스테이션,통합지원형,경기도 시흥시 정왕대로 233번길 19-1 ,https://blog.naver.com/0siheung21,070-7788-3816,평일(월-금) 10:00~22:00 주말(토~일) 10:00~18:00
111,39,청년협업마을,통합지원형,경기도 시흥시 소래산길 11,https://pf.kakao.com/_fREfu,031-310-2507,평일(월-금) 09:00~22:00
113,40,청년큐브-디지털제조스튜디오,창업지원형,"경기도 안산시 단원구 원포공원1로 59, 신명트윈타워 A동 5층",https://www.youthcube.net/digital/info,031-8040-6855,평일(월-금) 09:00~18:00
114,40,청년큐브-초지캠프,창업지원형,"경기도 안산시 단원구 원포공원1로 59, 신명트윈타워 A동 5층 ",https://www.youthcube.net/,031-487-9972,평일(월-금) 09:00~18:00
115,40,청년큐브-예대캠프,창업지원형,경기도 안산시 상록구 광덕산안길 20 광덕종합시장 303호,https://www.youthcube.net/,031-475-8200,평일(월-금) 09:00~18:00
116,40,청년큐브-한양캠프,창업지원형,경기도 안산시 상록구 한양대학로 60 4층,https://www.youthcube.net/,031-415-5600,평일(월-금) 09:00~18:00
117,40,경기내일스퀘어 안산 '상상대로',통합지원형,경기도 안산시 단원구 선부로 312 (와동 96-1),https://asyouthspace.kr/index.php,031-492-2030~3,평일(월-금) 10:00~22:00 토 10:00~16:00
118,42,동안청소년수련관,통합지원형,경기도 안양시 동안구 동안로 155(비산동) ,http://www.ayf.or.kr/dongan/index.do,031-8045-4900~4901,평일(월-금) 06:00~22:00 토 10:00~18:00
119,42,만안 청년오피스,창업지원형,"경기도 안양시 만안구 안양로 311, PROJECT 500 TOWER(롯데시네마 일번가 쇼핑몰) 16층",https://www.aca.or.kr/content/contents.do?menuId=1148,070-4550-4213,매일 10:00 ~ 21:00
120,42,동안 청년오피스,취업지원형,경기도 안양시 동안구 시민대로 327번길 11-41 안양창조경제융합센터 3층,https://www.aca.or.kr/content/contents.do?menuId=1147,031-8045-6771,매일 10:00 ~ 21:00
121,42,범계역 청년출구_성공을 도와주는 가게,통합지원형,"경기도 안양시 동안구 시민대로 180 롯데백화점 범계광장 내 (B1,헌혈의 집 옆)",https://www.instagram.com/beomgyestation_youthexit/,031-476-9371,"평일 (화-금), 토 10:00~21:00 일 11:00~17:00"
122,43,양주시청년센터,통합지원형,경기도 양주시 부흥로 1533 (남방동),https://www.yangju.go.kr/youth/index.do,031-8082-6076~7,평일(월-금)  10:00~22:00 토 10:00~18:00 
123,44,양평 청년공간 딴딴회관,순수공간,경기도 양평군 양서면 두물머리길20번길 8,https://linktr.ee/ddanddan,070-7799-3100,평일(월-금)  10:00~21:00 토 10:00~18:00 
124,44,양평청년공간 오름,통합지원형,"경기 양평군 용문면 용문로 391 양평 동부 청소년문화의집 1, 2층",https://www.yp21.go.kr/work/selectBbsNttList.do?bbsNo=360&key=3249,031-772-1018,평일(월-금) 10:00∼21:00 토 10:00~17:00
125,44,경기청년공간 내일스퀘어 양평,통합지원형,"경기도 양평군 양평읍 양근로 196 G타워 2,3층",https://www.instagram.com/naeilsquare_yp/,"031-773-3920,3921",평일(월-금) 10:00∼21:00 토 10:00~17:00
126,45,여주시청년활동지원센터(내일스퀘어),통합지원형,여주시 세종로14번길18 3층 (중앙프라자 3층),https://blog.naver.com/yjyouthcenter,"031-884-2056, 2057",평일(월-금) 10:00~21:00 토 09:00~18:00
127,46,연천군 청년센터,통합지원형,경기 연천군 전곡읍 전곡로 193 한국농촌공사 연천포천지사,https://www.instagram.com/ycyo_uth/,031-839-4141~2,평일(월-금) 9:00~21:00
128,47,오산메이커교육센터,취업지원형,경기 오산시 청학로 53 오산메이커교육센터,https://blog.naver.com/omec2019,031-8036-7842~7,평일(월-금) 09:00 ~ 18:00
130,47,오산청년일자리센터 이루잡 ,취업지원형,"경기도 오산시 운천로 62 3층, 오산청년일자리지원센터 이루잡",https://blog.naver.com/irujob,031-8036-8046,평일(월-금) 09:00~22:00 주말 10:00~18:00 
131,48,용인청년LAB 수지,통합지원형,경기도 용인시 수지구 포은대로 499 아르피아타워 2~3층 ,https://www.yylab.kr/index.do,031-324-4852~3,평일(월-금) 09:00~22:00 토 10:00~18:00 
132,48,용인청년LAB 기흥,통합지원형,경기도 용인시 기흥구 구갈로60번길 15 경영빌딩 2층,https://www.yylab.kr/index.do,031-693-8332~3,평일(월-금) 09:00~22:00 토 10:00~18:00 
133,48,용인청년LAB 처인,통합지원형,경기도 용인시 처인구 명지로40번길 8 삼가프라자 5층,https://www.yylab.kr/index.do,031-337-4012~3,평일(월-금) 09:00~22:00 토 10:00~18:00 
134,48,드림1인창업지원센터,창업지원형,경기도 용인시 기흥구 중동 838번지(쥬네브 문월드 2층) ,http://dipa.or.kr/information/businessnotice/?pageid=4&mod=document&uid=2379,031-890-7833,평일(월-금)  09:00~21:00 
135,48,"보정역 생활문화센터 '청년, 문화 놀다'",통합지원형,경기도 용인시 기흥구 용구대로 2585,https://www.yicf.or.kr/bojung/mainPage.do,031-323-6585,평일(화~금) 10:00~21:00 토10:00~17:00
136,49,청년발전소 포일센터,통합지원형,경기 의왕시 안양판교로 82 4층 ,http://www.uiwang.go.kr/UWKORWEL1601,031-345-2720,평일(월-금) 09:00~21:00 토 10:00~18:00
137,49,의왕시 청소년수련관 - 꿈누리카페,통합지원형,경기도 의왕시 문화공원로 33 (고천동) ,https://www.uyf.or.kr/uw1318/79,-,"평일(화-금) 12:00~21:00 주말 (토, 일) 10:00~18:00"
